@quelle	Gedruckte Speisekarte ATAS Doener & Pizza, Nordstr. 45a Beckum, PDF-Scan vom 10. September 2026
@hinweis	Zwei Preise sind mit preis_unsicher markiert und vor dem Livegang gegen die gedruckte Karte zu pruefen: Taschen 5 (Scan mehrdeutig, 9,50 aus dem Altsystem uebernommen) und Pizza 90 Diavolo 50 cm (Scan liest 25,00, Altsystem 20,00 - der niedrigere Wert steht drin).
@pos_start	taschen
@groessen	normal=30 cm	maxi=50 cm
@extras	normal=1	maxi=3
@extras_hinweis	Extra Belag 1,00 (30 cm) / 3,00 (50 cm). Extra Belag Fisch und Fleisch 2,00 (30 cm) / 7,00 (50 cm).

#	mittagsangebote	Mittagsangebote	simple	nur_mittags=true	nummer_zeigen=false	note=Angebote 1-4 gueltig von Mo bis Fr, 11:30 bis 14:00 Uhr. Dienstag ist Ruhetag.
	Linsensuppe mit Fladenbrot	Linsensuppe mit Wuerstchen und frisch gemachtem Fladenbrot	6.50
	Menü 1: Drehspieß Tasche	mit Pommes, Softgetränk 0,33 l	10
	Menü 2: Pizza 30 cm	Softgetränk 0,33 l	10
	Menü 3: Lahmacun	mit Pommes, Softgetränk 0,33 l	10
	Menü 4: Drehspießteller	mit Pommes, Softgetränk 0,33 l	11
	Menü 5: Hamburger	mit Pommes, Softgetränk 0,33 l	9

#	taschen	Taschengerichte	simple	note=Rind oder Hähnchen
1	Drehspießtasche	Drehspießfleisch mit Salat und Sauce	7
2	Drehspießtasche doppelt Fleisch	Drehspießfleisch mit Salat und Sauce	8
3	Drehspießtasche Big XL	Drehspießfleisch, Salat, Sauce	9
4	Drehspießtasche Sucuk	Drehspießfleisch mit Sucuk, Salat und Sauce	8.50
5	Drehspießtasche Atas	Drehspießfleisch mit Pommes, Salat und Sauce	9.50	preis_unsicher=true
6	Drehspießtasche mit gebratenem Gemüse	mit gebratenem Gemüse und Sauce	8
7	Drehspieß Box klein	Drehspießfleisch, Pommes und Sauce	6
7	Drehspieß Box groß	Drehspießfleisch, Pommes und Sauce	7
8	Köftetasche	mit Salat und Sauce	8
9	Cevapcici Tasche	mit Salat und Sauce	8.50
10	Pommestasche	mit Salat und Sauce	6
11	Chickentasche	Hähnchenschnitzel mit Remoulade, Cocktailsauce und Salat	7
12	Salattasche mit Käse	mit Weißkäse und Sauce	5.50
13	Falafeltasche	mit Salat und Sauce	7
14	Chickennuggetstasche	mit Salat und Sauce	7

#	dueruem	Dürüm (Wrap)	simple	note=Hausgemachte Dürüm (Teigrolle) aus dem Steinofen
15	Rolle	Drehspießfleisch mit Salat und Sauce	8
16	Rolle doppelt Fleisch	Drehspießfleisch mit Salat und Sauce	9
17	Sucuk Rolle	Drehspießfleisch mit Sucuk (türk. Knoblauchwurst), Salat und Sauce	9
18	Atas Rolle	Drehspießfleisch mit Pommes, Salat und Sauce	9
19	XXL Rolle	Drehspießfleisch mit Salat und Sauce	14
20	Köfte Rolle	mit Salat und Sauce	9
21	Cevapcici Rolle	mit Salat und Sauce	9.50
22	Falafel Rolle	Falafel mit Salat und Sauce	7
23	Salat Rolle	Salat, Weißkäse und Sauce	7

#	teller	Tellergerichte	simple	note=Saucen zur Wahl: Cocktailsauce, Tzatziki, Chili Sauce, BBQ-Sauce, Hollandaise Sauce
25	Drehspießteller klein	Drehspießfleisch, Salat, Twister, Pommes oder Reis und Sauce nach Wahl	8.50
26	Drehspießteller	Drehspießfleisch, Salat, Twister, Pommes oder Reis und Sauce	11
27	Chicken-Reis Teller	geschnetzelte Hähnchenbruststreifen mit Paprika, Erbsen und Sahnesauce	15
28	Köfteteller	Salat, Sauce nach Wahl, Twister, Pommes oder Reis	15
29	Mixgrillteller	versch. Grillfleisch mit Gewürzen und Kräutern, Twister, Pommes und Reis	18
30	kleine Portion Fleisch		8
31	große Portion Fleisch		10

#	lahmacun	Lahmacun	simple	note=Hauseigene türkische Teigspezialität mit Hackfleischsauce aus dem Steinofen
35	Lahmacun-Salat	Hackfleischsauce, Salat und Sauce	7
36	Lahmacun - Döner	Hackfleischsauce, Dönerfleisch, Salat und Sauce, mit oder ohne Käse	8
37	Lahmacun Atas	Hackfleischsauce mit Dönerfleisch, Pommes, Salat, Sauce	9
38	Lahmacun XXL - Döner	Hackfleischsauce mit Dönerfleisch, Salat und Sauce	14

#	pide	Pide	simple	note=Hauseigene türkische Teigspezialität (Schiffchen) aus dem Steinofen
45	Pide mit Goudakäse		8
46	Pide mit Weißkäse		8
47	Pide mit Hackfleischsauce und Gouda		9
48	Pide mit Drehspießfleisch und Gouda		9
49	Pide mit Sucuk, Gouda und Ei		9
50	Pide mit Spinat und Schafskäse		9
51	Pide mit Hähnchenbruststreifen und Paprika		10

#	schnitzel	Putenschnitzel	simple	note=Alle Schnitzelgerichte werden mit Beilagen, Salat und wahlweise mit Pommes, Kroketten oder Wildkartoffeln serviert.
52	Champignon-Rahmschnitzel	Champignon in Sahnesauce	10
53	Schnitzel nach Wiener Art		9

